"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","Get exercises","LMS service","Thu Dec 11 13:22:46 UTC 2025","passed","Thu Dec 11 13:22:46 UTC 2025","Get entities","Exercises","",""
"","291","Create user","LMS service","Thu Dec 11 13:22:50 UTC 2025","passed","Thu Dec 11 13:22:50 UTC 2025","Create entity","Users","",""
"","32","Create courses","LMS service","Thu Dec 11 13:22:43 UTC 2025","passed","Thu Dec 11 13:22:43 UTC 2025","Create entity","Courses","",""
"","23","Create exercise","LMS service","Thu Dec 11 13:22:44 UTC 2025","passed","Thu Dec 11 13:22:44 UTC 2025","Create entity","Exercises","",""
"","291","Delete exercise","LMS service","Thu Dec 11 13:22:46 UTC 2025","passed","Thu Dec 11 13:22:46 UTC 2025","Delete entity","Exercises","",""
"","23","Delete file","LMS service","Thu Dec 11 13:22:49 UTC 2025","passed","Thu Dec 11 13:22:49 UTC 2025","Delete entity","Files","",""
"","28","Get courses","LMS service","Thu Dec 11 13:22:43 UTC 2025","passed","Thu Dec 11 13:22:43 UTC 2025","Get entities","Courses","",""
"","266","Create file with empty filname response","LMS service","Thu Dec 11 13:22:48 UTC 2025","passed","Thu Dec 11 13:22:48 UTC 2025","Validate entity","Files","",""
"","553","Test login","LMS service","Thu Dec 11 13:22:41 UTC 2025","passed","Thu Dec 11 13:22:42 UTC 2025","Login","Authentication","",""
"","12","Get user me","LMS service","Thu Dec 11 13:22:51 UTC 2025","passed","Thu Dec 11 13:22:51 UTC 2025","Get entity","Users","",""
"","309","Update courses","LMS service","Thu Dec 11 13:22:42 UTC 2025","passed","Thu Dec 11 13:22:42 UTC 2025","Update entity","Courses","",""
"","15","Get file","LMS service","Thu Dec 11 13:22:47 UTC 2025","passed","Thu Dec 11 13:22:47 UTC 2025","Get entities","Files","",""
"","259","Get file with incorrect file id","LMS service","Thu Dec 11 13:22:49 UTC 2025","passed","Thu Dec 11 13:22:50 UTC 2025","Validate entity","Files","",""
"","265","Create file","LMS service","Thu Dec 11 13:22:47 UTC 2025","passed","Thu Dec 11 13:22:47 UTC 2025","Create entity","Files","",""
"","563","Create user","LMS service","Thu Dec 11 13:22:50 UTC 2025","passed","Thu Dec 11 13:22:50 UTC 2025","Create entity","Users","",""
"","265","Create file with empty directory response","LMS service","Thu Dec 11 13:22:48 UTC 2025","passed","Thu Dec 11 13:22:49 UTC 2025","Validate entity","Files","",""
"","291","Update exercise","LMS service","Thu Dec 11 13:22:44 UTC 2025","passed","Thu Dec 11 13:22:45 UTC 2025","Update entity","Exercises","",""
"","21","Get exercise","LMS service","Thu Dec 11 13:22:45 UTC 2025","passed","Thu Dec 11 13:22:45 UTC 2025","Create entity","Exercises","",""
"","529","Create user","LMS service","Thu Dec 11 13:22:49 UTC 2025","passed","Thu Dec 11 13:22:50 UTC 2025","Create entity","Users","",""
